         Available Data items for the following Database Selection:

          DATABASES: Special Merger Sectors (Aus/NZ) (MA, OMA, IMA)
          MA   - Mergers & Acquisitions
Spinoff Estimated Share Price ($)                                       ESTSPINPR                      
Spinoff Estimated Share Price (Host)                                    HOSTESTSPINPR                  
Spinoff Estimated Value ($ Mil)                                         ESTSPINVAL                     
Spinoff Estimated Value (Host Mil)                                      HOSTESTSPINVAL                 
Spinoff Flag (Y/N)                                                      SPIN                           
Splitoff Flag (Y/N)                                                     SPLIT                          
Stake Purchase Flag (Y/N)                                               STAKE                          
Stake Purchase Value                                                    VSTAKE                         
Standard Ranking Eligible Flag (Y/N)                                    RANK_ME                        
State where Laws Governing Deal are Applicable (Code)                   LAWC                           
Status of MMC Ruling (Code)                                             STATUS_MMCCODE                 
Stock Option Average Exercise Price ($)                                 OPEXEPR                        
Stock Option Proceeds, based on Average Exercise Price                  OPTION_PROCEED                 
Stock Option Proceeds, based on Average Exercise Price (Host Mil)       HOST_OPTION_PROCEED            
Stock Options Description (Text Paragraph)                              OPTIONS_DESC                   
Stock Options Exist on Target Stock Flag (Y/N)                          OPTIONS_YN                     
Stock Swap Flag (Y/N)                                                   SWAP                           
Straight Debt 1 Year Prior ($ Mil)                                      STRD1                          
Straight Debt 2 Years Prior ($ Mil)                                     STRD2                          
Straight Debt 3 Years Prior ($ Mil)                                     STRD3                          
Straight Debt 4 Years Prior ($ Mil)                                     STRD4                          
Straight Debt 5 Years Prior ($ Mil)                                     STRD5                          
Straight Debt Last Twelve Months                                        EURO_STRAIGHTDEBT              
Straight Debt Last Twelve Months ($ Mil)                                STRD                           
Straight Debt Last Twelve Months (Host Mil)                             HOSTSTRAIGHTDEBT               
Straight Debt Most Recent Quarter ($ Mil)                               STRDLQ                         
Straight Debt Same Quarter 1 Year Prior ($ Mil)                         STRDFQ                         
Sweeping Purchase Flag (Y/N)                                            SWEEP                          
Tangible Book Value (Host Mil)                                          TBV                            
Tangible Common Equity Ratio                                            TANGIBLE_CER                   
Target                                                                  CUTIC                          
Target & Acquiror are Located in Same State Flag (Y/N)                  INTRASTATE                     
Target & Acquiror Financial Advisor Fees, Total Amt (Euro Mil)          EUROFEETOT                     
Target & Acquiror Financial Advisor Fees, Total Amt (Host Mil)          HOSTFEETOT                     
Target & Acquiror Financial Advisor Fees, Total Amt as % of Value       FTOTPCT                        
Target & Acquiror Public Mid Code                                       BOTH_PUB_MID                   
Target 6-digit CUSIP                                                    TCU                            
Target Actual Shares Outstanding (Mil)                                  CACT                           
Target Actual Shares Outstanding Last Twelve Months                     COMDFIN                        
Target Advertising Billings ($ Mil)                                     BILL                           
Target Advertising Billings (Host Mil)                                  HOSTBILLINGS                   
Target Advisor Credit in Ranking                                        TADVCREDIT                     
Target All SIC (Codes Listed Down the Page)                             TSIC                           
Target and Acquiror Financial Advisor Fee Description                   FEES                           
Target and Acquiror Financial Advisor Fees, Total ($mil)                FTOT                           
Target Australian Stock Exchange Industry (Code)                        TASXC                          
Target Branch Address                                                   BRANCHADD                      
Target Branches/Retail Outlets                                          BR                             
Target Business Description, Full (ALL CAPS, Text Paragraph)            TBLUPPER                       
Target Business Description, Full (UPPER CASE)                          TBUSINESSL_Q                   
Target Canadian Province                                                TPROVINCE                      
Target CIDGEN                                                           TCIDGEN                        
Target City                                                             TCITY                          
Target Co & Acquiror Ultimate Parent located in same region (Y/N)       INTRAREGIONAL                  
Target Co & Acquiror Ultimate Parent NOT located in same region (Y/N)   INTERREGIONAL                  
Target Datastream Code                                                  T_DS_CODE                      
Target Due Diligence Advisor (Code)                                     TACCC                          
Target Due Diligence Advisor (Name)                                     TACC                           
Target Fax Number                                                       FAXNUM                         
Target Financial Adv. Fee is Based on % of Deal Value Flag (Y/N)        TPCTFEE                        
Target Financial Advisor (Codes Listed Down the Page)                   TAC                            
Target Financial Advisor Assignments (Codes)                            TASSIGNC                       
Target Financial Advisor Fee Assignments (Codes)                        TFC                            
Target Financial Advisor Fee Based on Flat Fee Flag (Y/N)               TFLATFEE                       
Target Financial Advisor Fee Information Source                         FEE_SOURCE                     
Target Financial Advisor Fees, Amt per Advisor ($ Mil)                  TFTOTN                         
Target Financial Advisor Fees, Amt per Advisor (Host Mil)               HOSTTTOTFEENEG                 
Target Financial Advisor Fees, Amt per Assignment ($ Mil)               TFAMT                          
Target Financial Advisor Fees, Amt per Assignment (Host Mil)            HOSTTFEEAMT                    
Target Financial Advisor Fees, Total Amt ($ Mil)                        TFTOT                          
Target Financial Advisor Fees, Total Amt (Euro Mil)                     EUROTFEETOT                    
Target Financial Advisor Fees, Total Amt (Host Mil)                     HOSTTFEETOT                    
Target Financial Advisor Fees, Total Amt as % of Deal Value             TFPCT                          
Target Financial Advisor Long Name                                      TALONG                         
Target Financial Advisors (Codes)                                       TAA_TACODE                     
Target Financial Advisors with LT-eligible Role (Code Listed Down the Page) TAC_ROLE_ELIG                  
Target Financial Advisors with LT-eligible Role (Codes)                 TAA_TACODE_ROLE_ELIG           
Target Financials Source Date                                           DATE_FIN_SOURCE_T              
Target Forbes Sales 500 Rank                                            TFBRANK                        
Target Fortune 500 Rank                                                 TFTRANK                        
Target Fully Diluted Shares Outstanding (Mil)                           COUT                           
Target High Tech Industry (Codes)                                       THTECHC                        
Target Immediate Parent 6-digit CUSIP                                   TIP                            
Target Immediate Parent CIDGEN                                          TIPCIDGEN                      
Target Immediate Parent is a Financial Sponsor (Y/N)                    TIPFINANCIAL                   
Target Immediate Parent Public Status (Code)                            TIPPUBC                        
Target Industry Group (Code)                                            TINGC                          
Target Industry Sector (Code)                                           TINC                           
Target is a Financial Sponsor Flag (Y/N)                                TFINANCIAL                     
Target is a Leveraged Buyout Firm                                       TLBOFIRM                       
Target is a Limited Partnership Flag (Y/N)                              TLP                            
Target is Family Owned/Controlled Flag (Y/N) (min. 20%)                 FAM                            
Target Legal Advisor Assignments (Codes)                                TLEGALASSIGNMENTCODE           
Target Legal Advisor Credit in Ranking                                  T_LEG_CREDIT                   
Target Legal Advisor Fees, Amt per Advisor ($ Mil)                      TFLEGAL                        
Target Legal Advisor Lawyers (Code)                                     TLAWYERCODE                    
Target Legal Advisor Nation (Code)                                      TLEGALNATIONC                  
Target Legal Advisors (Codes)                                           TLEGC                          
Target Lockup Percentage (%)                                            T_LOCKUP_PCT                   
Target Lockup Price (Host Curr)                                         T_LOCKUP_PR_HOST               
Target Lockup Price (US $)                                              T_LOCKUP_PR                    
Target LT-Eligible Financial Advisor Assignments (Codes)                TASSIGNC_ELIG                  
Target Macro Industry (Code)                                            TTF_MACRO_CODE                 
Target Market Value 4 Weeks Prior to Announcement ($ Mil)               MV                             
Target Market Value 4 Weeks Prior to Announcement (Euro mil)            EURO_MV                        
Target Market Value 4 Weeks Prior to Announcement (Host Mil)            HOSTMV                         
Target Mid Industry (Code)                                              TTF_MID_CODE                   
Target NAIC (Code)                                                      TNAIC                          
Target Name (Full)                                                      TNL                            
Target Nation (Code)                                                    TNATC                          
Target Nation of Primary Stock Exchange (Code)                          TNPSE_CODE                     
Target Nation of Stock Exchange (Code)                                  TNSE_CODE                      
Target Nation Region (Code)                                             TNATRC                         
Target Number of Employees                                              EMPLOYEE                       
Target Number of Hospital Beds                                          BEDS                           
Target or Acquiror 6-digit CUSIP                                        BCUSIP                         
Target or Acquiror Agreed to Termination Fee Flag (Y/N)                 TERM                           
Target or Acquiror All SIC (Codes)                                      BSIC                           
Target or Acquiror Business Description, Full (UPPER CASE)              TBL_Q_ABL_Q                    
Target or Acquiror Datastream Code                                      B_DS_CODE                      
Target or Acquiror Financial Adv. Fees, Amt per Assignment (Host Mil)   HOSTBFEEAMT                    
Target or Acquiror Financial Advisor Assignments (Codes)                BASSIGNCODE                    
Target or Acquiror Financial Advisor Fee Assignments (Codes)            BFEECODE                       
Target or Acquiror Financial Advisor Fees, Amt per Advisor ($ Mil)      BTOTFEENEG                     
Target or Acquiror Financial Advisor Fees, Amt per Advisor (Host Mil)   HOSTBTOTFEENEG                 
Target or Acquiror Financial Advisor Fees, Amt per Assignment ($ Mil)   BFEEAMT                        
Target or Acquiror Financial Advisor Fees, Total Amt ($ Mil)            TFEETOT_OR_AFEETOT             
Target or Acquiror Financial Advisors (Codes)                           BAA_BACODE                     
Target or Acquiror Financial Advisors with LT-eligible Role (Codes)     BAA_BACODE_ROLE_ELIG           
Target or Acquiror High Tech Industry (Codes)                           AHTECHC_OR_THTECHC             
Target or Acquiror Industry Group (Code)                                BMAINDUSTRYGROUP               
Target or Acquiror Industry Sector (Code)                               BMAINDUSTRYCODE                
Target or Acquiror Legal Advisor                                        BLEGALLONG                     
Target or Acquiror LT-Eligible Financial Advisor Assignments (Codes)    BASSIGNCODE_ELIG               
Target or Acquiror Macro Industry (Code)                                BTF_MACRO_CODE                 
Target or Acquiror Market Value 4 Weeks Prior to Announcement ($ Mil)   MV_OR_AMV                      
Target or Acquiror Mid Industry (Code)                                  BTF_MID_CODE                   
Target or Acquiror Nation (Code)                                        BNATIONCODE                    
Target or Acquiror Nation of Primary Stock Exchange (Code)              BNPSE_CODE                     
Target or Acquiror Nation of Stock Exchange (Code)                      BNSE_CODE                      
Target or Acquiror Nation Region (Code)                                 BNATREGC                       
Target or Acquiror Net Assets Last Twelve Months ($ Mil)                NETASS_OR_ANETASS              
Target or Acquiror Parent Nation (Code)                                 TUPNATIONCODE_OR_AUPNATIONCODE 
Target or Acquiror Parent's Public Status (Code)                        TUPPUBCODE_OR_AUPPUBCODE       
Target or Acquiror Primary NAIC (Code)                                  BNAICP                         
Target or Acquiror Primary Nation Region (Code)                         BPNATREGC                      
Target or Acquiror Primary SIC (Code)                                   BSICP                          
Target or Acquiror Primary Stock Exchange (Code)                        BEXCHC                         
Target or Acquiror Primary Stock Exchange (Name)                        BEXCHANGE                      
Target or Acquiror Primary Ticker Symbol                                BTIC                           
Target or Acquiror Public Status (Code)                                 BPUBLICCODE                    
Target or Acquiror Sales Last Twelve Months ($ Mil)                     SALESLTM_OR_ASALESLTM          
Target or Acquiror Significant Individuals (Codes)                      BSIGINDCODE                    
Target or Acquiror State (Code)                                         BSTATECODE                     
Target or Acquiror State of Incorporation (Code)                        BSTATEINCCODE                  
Target or Acquiror Stock Exchange (Code)                                BAEXCHC                        
Target or Acquiror Ticker Symbol                                        BBTIC                          
Target or Acquiror Total Assets Last Twelve Months ($ Mil)              TASS_OR_ATASS                  
Target or Acquiror Ult Parent Business Descr, Full (Text Paragraph)     TAUPBL                         
Target or Acquiror VEIC (code)                                          BVEIC                          
Target Phone Number                                                     TPH                            
Target Price High ($)                                                   TARGET_PR_HIGH                 
Target Price Low ($)                                                    TARGET_PR_LOW                  
Target Primary High Tech Code                                           HITECHP                        
Target Primary NAIC (Code)                                              TNAICP                         
Target Primary Nation Region (Code)                                     TPNATREGC                      
Target Primary SIC (Code)                                               TSICP                          
Target Primary Stock Exchange (Code)                                    TEXCHC                         
Target Primary Stock Exchange (Name)                                    TEXCH                          
Target Primary Stock Exchange by Country (Code)                         TPRIMEXCHC                     
Target Primary Ticker Symbol                                            TTIC                           
Target Primary Venture Economics Industry (Code)                        TVEICP                         
Target Public Mid Code                                                  TARGET_PUB_MID                 
Target Public Status (Code)                                             TPUBC                          
Target Ratio High                                                       COLRATIOH                      
Target Ratio Low                                                        COLRATIOL                      
Target Share Price 1 Day Prior to Announcement ($)                      PR1DAY                         
Target Share Price 1 Day Prior to Announcement (Euro)                   EURO_C1DAY                     
Target Share Price 1 Day Prior to Announcement (Host)                   HOSTC1DAY                      
Target Share Price 1 Week Prior to Announcement ($)                     PR1WK                          
Target Share Price 1 Week Prior to Announcement (Euro)                  EURO_C1WK                      
Target Share Price 1 Week Prior to Announcement (Host)                  HOSTC1WK                       
Target Share Price 4 Weeks Prior to Announcement ($)                    PR4WK                          
Target Share Price 4 Weeks Prior to Announcement (Euro)                 EURO_C4WK                      
Target Share Price 4 Weeks Prior to Announcement (Host)                 HOSTC4WK                       
Target Short Business Description                                       TB                             
Target Significant Individuals (Codes)                                  TSIGINDCODE                    
Target Significant Individuals (Names)                                  TSI                            
Target State (Code)                                                     TSTC                           
Target State of Incorporation (Code)                                    STIC                           
Target Stock Exchange (Code)                                            TAEXCHC                        
Target Stock Exchange (Name)                                            TAEXCH                         
Target Stock Price 1 Day After Announcement ($)                         TPR1DAYA                       
Target Stock Price 1 Week After Announcement ($)                        TPR1WKA                        
Target Stock Price 180 Days After Announcement ($)                      TPR180DAYA                     
Target Stock Price 4 Weeks After Announcement ($)                       TPR4WKA                        
Target Stock Price 60 Days After Announcement ($)                       TPR60DAYA                      
Target Stock Price 90 Days After Announcement ($)                       TPR90DAYA                      
Target Stock Price on Announcement Day ($)                              TPRDAY                         
Target Street Address                                                   TSTR                           
Target Subscribers/Circulation (Thous)                                  SUBSCRIBERS                    
Target Supranational Flag (Y/N)                                         TSUPRANATIONAL                 
Target Termination Fee ($ Mil)                                          TTERMFEE                       
Target Termination Fee (Host Mil)                                       HOSTTTERMFEE                   
Target Termination Fee Flag (Y/N)                                       TTERM                          
Target Ticker Symbol                                                    TTICC                          
Target Total Bank Deposits ($ Mil)                                      DEPOS                          
Target Total Bank Deposits (Host Mil)                                   HOSTDEPOSITS                   
Target Total Natural Gas Reserves (Billions of Cubic Feet)              NGAS                           
Target Total Oil Reserves ($ Mil)                                       OILRESERVES                    
Target Ultimate Parent 6-digit CUSIP                                    TUP                            
Target Ultimate Parent All SIC (Codes)                                  TUPSIC                         
Target Ultimate Parent Australian Stock Exchange Industry (Code)        TUPASXC                        
Target Ultimate Parent Business Description, Full (Text Paragraph)      TUPBL                          
Target Ultimate Parent Business Short (Description)                     TUPBUSS                        
Target Ultimate Parent CIDGEN                                           TUPCIDGEN                      
Target Ultimate Parent City                                             TUPCITY                        
Target Ultimate Parent High Tech Industry (Codes)                       TUPHTECH                       
Target Ultimate Parent Industry (Code)                                  TUPINC                         
Target Ultimate Parent Industry Group (Code)                            TUPINGC                        
Target Ultimate Parent is a Financial Sponsor Flag (Y/N)                TUPFINANCIAL                   
Target Ultimate Parent is an LBO Firm Flag (Y/N)                        TUPLBOFIRM                     
Target Ultimate Parent Macro Industry (Code)                            TUP_MACRO_CODE                 
Target Ultimate Parent Mid Industry (Code)                              TUP_MID_CODE                   
Target Ultimate Parent Name                                             TUPNAMES                       
Target Ultimate Parent Nation (Code)                                    TUPNATC                        
Target Ultimate Parent Nation Region (Code)                             TUPNATREGC                     
Target Ultimate Parent Phone Number                                     TUPPHONE                       
Target Ultimate Parent Primary NAIC (Code)                              TUPNAICP                       
Target Ultimate Parent Primary Nation Region (Code)                     TUPPNATREGC                    
Target Ultimate Parent Primary SIC (Code)                               TUPSICP                        
Target Ultimate Parent Primary Stock Exchange (Code)                    TUPEXCHCODE                    
Target Ultimate Parent Primary Stock Exchange (Name)                    TUPEXCHANGE                    
Target Ultimate Parent Primary Ticker Symbol                            TUPTIC                         
Target Ultimate Parent Primary Venture Economics Industry (Code)        TUPVEICP                       
Target Ultimate Parent Public Mid Code                                  TUP_PUB_MID                    
Target Ultimate Parent Public Status (Code)                             TUPPUBC                        
Target Ultimate Parent State (Code)                                     TUPSTC                         
Target Ultimate Parent State (Name)                                     TUPSTATE                       
Target Ultimate Parent Stock Exchange (Code)                            TUPAEXCHCODE                   
Target Ultimate Parent Stock Exchange (Name)                            TUPAEXCHANGE                   
Target Ultimate Parent Street Address (Line 1)                          TUPSTREET1                     
Target Ultimate Parent Street Address (Line 2)                          TUPSTREET2                     
Target Ultimate Parent Ticker Symbol                                    TUPTICC                        
Target Ultimate Parent Venture Economics Industry (Code)                TUPVEIC                        
Target Ultimate Parent Zip Code                                         TUPZIP                         
Target Ultimate Parent's SEDOL                                          TUPSEDOL                       
Target Venture Economics Industry (Code)                                TVEIC                          
Target Walk Away Price                                                  TARGET_WALK_AWAY_PRICE         
Target Zip Code                                                         TZIP                           
Target/Acquiror/Seller/Investor (Codes)                                 BCUTIC                         
Target/Seller                                                           TSCUTIC                        
Target's Indemnification Basket (HOST CURRENCY)                         INDEMN_TGT_BSKT_HOST           
Target's Indemnification Basket (USD)                                   INDEMN_TGT_BSKT                
Target's Indemnification Basket Deductibility (Code)                    INDEMN_TGT_BSKT_DEDUCT         
Target's Indemnification Cap - % of (Rank Value)                        INDEMN_TGT_CAP_PCT             
Target's Indemnification Cap (HOST)                                     INDEMN_TGT_CAP_HOST            
Target's Indemnification Cap (USD)                                      INDEMN_TGT_CAP                 
Target's Individual Claim Deductibility (Code)                          INDEMN_TGT_INDIV_DEDUCT        
Target's Min. Indemnifiable Claim (HOST CURRENCY)                       INDEMN_TGT_INDIV_MIN_HOST      
Target's Min. Indemnifiable Claim (USD)                                 INDEMN_TGT_INDIV_MIN           
Target's Net Income LTM in Acquiror's Host Currency                     AHOSTNILTM                     
Target's SEDOL                                                          TARGET_SEDOL                   
Targt DUNS Number                                                       TDUNS                          
Taxes 1 Year Prior ($ Mil)                                              TAX1                           
Taxes 1 Year Prior (Host Mil)                                           HOSTTAXES1                     
Taxes 2 Years Prior ($ Mil)                                             TAX2                           
Taxes 2 Years Prior (Host Mil)                                          HOSTTAXES2                     
Taxes 3 Years Prior ($ Mil)                                             TAX3                           
Taxes 3 Years Prior (Host Mil)                                          HOSTTAXES3                     
Taxes 4 Years Prior ($ Mil)                                             TAX4                           
Taxes 4 Years Prior (Host Mil)                                          HOSTTAXES4                     
Taxes 5 Years Prior ($ Mil)                                             TAX5                           
Taxes 5 Years Prior (Host Mil)                                          HOSTTAXES5                     
Taxes Last Twelve Months ($ Mil)                                        TAX                            
Taxes Last Twelve Months (Host Mil)                                     HOSTTAXESLTM                   
Taxes Most Recent Quarter ($ Mil)                                       TAXLQ                          
Taxes Same Quarter 1 Year Prior ($ Mil)                                 TAXFQ                          
Tender Offer Flag (Y/N)                                                 TEND                           
Tender/Merger Flag (Y/N)                                                TM                             
Tgt Ult Parent Long Buss Descr(ALL CAPS, Txt Para)                      TUPBUSINESSL_Q                 
Topping Fee ($ Mil)                                                     TOPFEE                         
Topping Fee Flag (Y/N)                                                  TOP                            
Total Assets 3 Year Growth Rate (%)                                     TASS3YGR                       
Total Assets 5 Year Growth Rate (%)                                     TASS5YGR                       
Total Assets Last Twelve Months ($ Mil)                                 TASS                           
Total Assets Last Twelve Months (Euro mil)                              EURO_TASS                      
Total Assets Last Twelve Months (Host Mil)                              HOSTTASS                       
Total Debt Last Twelve Months ($ Mil)                                   TOTALDEBT                      
Total Debt last twelve Months (Host mil)                                TOTALDEBT_HOST                 
Total Liabilities 3 Year Growth Rate (%)                                TLIA3YGR                       
Total Liabilities 5 Year Growth Rate (%)                                TLIA5YGR                       
Total Liabilities Last Twelve Months ($ Mil)                            TLIA                           
Total Liabilities Last Twelve Months (Host Mil)                         HOSTTLIA                       
Trading Comparable: Company Cusip                                       FO_TRADING_CUSIP               
Trading Comparable: Implied Equity Value High (Host)                    FO_TRADING_EQVAL_HI_HOST       
Trading Comparable: Implied Equity Value High (US$)                     FO_TRADING_EQVAL_HI            
Trading Comparable: Implied Equity Value Low (Host)                     FO_TRADING_EQVAL_LOW_HOST      
Trading Comparable: Implied Equity Value Low (US$)                      FO_TRADING_EQVAL_LOW           
Trading Comparable: Implied Equity Value Type (Code)                    FO_TRADING_EQVAL_TYPEC         
Trading Comparable: Valuation Multiple High                             FO_TRADING_VAL_HI              
Trading Comparable: Valuation Multiple Low                              FO_TRADING_VAL_LOW             
Trading Comparable: Valuation Multiple Mean                             FO_TRADING_VAL_MEAN            
Trading Comparable: Valuation Multiple Median                           FO_TRADING_VAL_MEDIAN          
Trading Comparable: Valuation Multiple Type                             FO_TRADING_VAL_TYPE            
Transaction Comparable: Acquiror Cusip                                  FO_DEAL_ACUSIP                 
Transaction Comparable: Deal Number                                     FO_DEAL_NO                     
Transaction Comparable: Implied Equity Value High (Host)                FO_DEAL_EQVAL_HI_HOST          
Transaction Comparable: Implied Equity Value High (US$)                 FO_DEAL_EQVAL_HI               
Transaction Comparable: Implied Equity Value Low (Host)                 FO_DEAL_EQVAL_LOW_HOST         
Transaction Comparable: Implied Equity Value Low (US$)                  FO_DEAL_EQVAL_LOW              
Transaction Comparable: Implied Equity Value Type (Code)                FO_DEAL_EQVAL_TYPEC            
Transaction Comparable: Rank Value (US$ Mil)                            FO_DEAL_RANKVAL                
Transaction Comparable: Target Cusip                                    FO_DEAL_TCUSIP                 
Transaction Comparable: Valuation Multiple High                         FO_DEAL_VAL_HI                 
Transaction Comparable: Valuation Multiple Low                          FO_DEAL_VAL_LOW                
Transaction Comparable: Valuation Multiple Mean                         FO_DEAL_VAL_MEAN               
Transaction Comparable: Valuation Multiple Median                       FO_DEAL_VAL_MEDIAN             
Transaction Comparable: Valuation Multiple Type                         FO_DEAL_VAL_TYPE               
Two-Tiered Deal Flag (Y/N)                                              TWOTIER                        
Value of Alternative Offer ($ Mil)                                      VALALT                         
Value of Alternative Offer (Euro mil)                                   EURO_VALALT                    
Value of Alternative Offer (Host Mil)                                   HOSTVALALT                     
Value of Bridge Financing ($ Mil)                                       VBR                            
Value of Bridge Financing (Euro mil)                                    EURO_VALBRIDGE                 
Value of Capital Infusion ($ Mil)                                       VALCAPINF                      
Value of Capital Infusion (Euro mil)                                    EURO_VALCAPINF                 
Value of Capital Infusion (Host Mil)                                    HOSTVALCAPINF                  
Value of Cash ($ Mil)                                                   VCASH                          
Value of Cash (Euro mil)                                                EURO_VALCASH                   
Value of Cash (Host Mil)                                                HOSTVALCASH                    
Value of Common Stock ($ Mil)                                           VCOM                           
Value of Common Stock (Euro mil)                                        EURO_VALCOM                    
Value of Common Stock (Host Mil)                                        HOSTVALCOM                     
Value of Common Stock at Effective Date ($ Mil)                         VCOMEFF                        
Value of Common Stock at Effective Date (Euro mil)                      EURO_VALCOMEFF                 
Value of Common Stock at Effective Date (Host Mil)                      HOSTVALCOMEFF                  
Value of Competing Offer (Euro mil)                                     EURO_COMPETEVALUE              
Value of Competing Offer (Host Mil)                                     HOSTCOMPETEVALUE               
Value of Convertible Debt ($ Mil)                                       VCDEBT                         
Value of Convertible Debt (Euro mil)                                    EURO_VALCDEBT                  
Value of Convertible Debt (Host Mil)                                    HOSTVALCDEBT                   
Value of Convertible Preferred Stock ($ Mil)                            VCPFD                          
Value of Convertible Preferred Stock (Euro mil)                         EURO_VALCPFD                   
Value of Convertible Preferred Stock (Host Mil)                         HOSTVALCPFD                    
Value of Debt ($ Mil)                                                   VDEBT                          
Value of Debt (Euro mil)                                                EURO_VALDEBT                   
Value of Debt (Host Mil)                                                HOSTVALDEBT                    
Value of Earnout ($ Mil)                                                VEARN                          
Value of Earnout (Euro mil)                                             EURO_VALEARN                   
Value of Earnout (Host Mil)                                             HOSTVALEARN                    
Value of Equity at Effective Date ($ Mil)                               EQVAL2                         
Value of Equity at Effective Date (Host Mil)                            HOST_EQVAL2                    
Value of Equity Based on Financials ($ Mil)                             EQVAL                          
Value of Equity Based on Financials (Euro mil)                          EURO_EQVAL                     
Value of Equity Based on Financials (Host Mil)                          HOSTEQVAL                      
Value of Liabilities Assumed ($ Mil)                                    VLIA                           
Value of Liabilities Assumed (Euro mil)                                 EURO_VALLIA                    
Value of Liabilities Assumed (Host Mil)                                 HOSTVALLIA                     
Value of Other Consideration ($ Mil)                                    VOTH                           
Value of Other Consideration (Euro mil)                                 EURO_VALOTHER                  
Value of Other Consideration (Host Mil)                                 HOSTVALOTHER                   
Value of Preferred Stock ($ Mil)                                        VPFD                           
Value of Preferred Stock (Euro mil)                                     EURO_VALPFD                    
Value of Preferred Stock (Host Mil)                                     HOSTVALPFD                     
Value of Royalties ($ Mil)                                              VROYAL                         
Value of Royalties (Euro mil)                                           EURO_VALROYAL                  
Value of Royalties (Host Mil)                                           HOSTVALROYAL                   
Value of Shares Tendered ($ Mil)                                        VTEND                          
Value of Stake Purchase (Euro mil)                                      EURO_VALSTAKE                  
Value of Stake Purchase (Host Mil)                                      HOSTVALSTAKE                   
Value of Tender Offer (Euro mil)                                        EURO_VALTEND                   
Value of Tender Offer (Host Mil)                                        HOSTVALTEND                    
Value of Undetermined Consideration is Estimated Flag (Y/N)             VREST                          
Value of Undisclosed Consideration ($ Mil)                              VUNDIS                         
Value of Undisclosed Consideration (Euro mil)                           EURO_VALUNDIS                  
Value of Undisclosed Consideration (Host Mil)                           HOSTVALUNDIS                   
Value of Warrants ($ Mil)                                               VWAR                           
Value of Warrants (Euro mil)                                            EURO_VALWAR                    
Value of Warrants (Host Mil)                                            HOSTVALWAR                     
Venture Type Code                                                       VENTURE_TYPE_CODE              
Walkaway Flag (Y/N)                                                     WALKAWAY_FLAG                  
Year Completed/Unconditional (yyyy)                                     YEAREFF                        
Year of Announcement (yyyy)                                             YEARANN                        
Year of Rank Date (yyyy)                                                RANK_YEAR                      
Year Target Company Founded                                             FOUNDED    
